tick,Tanker Truck Count,Petrol Station Count ,Daily Demand,Inventory Level,Refiner Count
1,5,10,2109.08237,7890.91763,1
2,5,10,1983.350737,5907.566892,1
3,5,10,2245.435927,3662.130965,1
4,5,10,1897.524971,1764.605994,1
5,5,10,4738.241042,-2973.635047,1
6,5,10,4965.042928,-7938.677976,1
7,5,10,1900.84395,-9839.521926,1
8,5,10,1939.841295,-11779.36322,1
9,5,10,2274.936859,-14054.30008,1
10,5,10,2097.24516,-16151.54524,1
11,5,10,2287.113704,-18438.65894,1
12,5,10,4878.698738,-23317.35768,1
13,5,10,5141.813561,-28459.17124,1
14,5,10,1892.528315,-30351.69956,1
15,5,10,2156.877605,-32508.57716,1
16,5,10,2295.134104,-34803.71127,1
17,5,10,2155.035151,-36958.74642,1
18,5,10,2196.81523,-39155.56165,1
19,5,10,4718.19999,-43873.76164,1
20,5,10,5250.033781,-49123.79542,1
21,5,10,2005.822301,-51129.61772,1
22,5,10,1986.307195,-53115.92491,1
23,5,10,1666.312577,-54782.23749,1
24,5,10,2401.363087,-57183.60058,1
25,5,10,2087.703309,-59271.30389,1
26,5,10,5120.780524,-64392.08441,1
27,5,10,5007.285983,-69399.37039,1
28,5,10,1843.987898,-71243.35829,1
29,5,10,2192.229377,-73435.58767,1
30,5,10,2128.732862,-75564.32053,1
31,5,10,1968.752875,-77533.07341,1
32,5,10,1744.207423,-79277.28083,1
33,5,10,4764.798939,-84042.07977,1
34,5,10,4900.644513,-88942.72428,1
35,5,10,1758.551527,-90701.27581,1
36,5,10,1890.16745,-92591.44326,1
37,5,10,1751.671322,-94343.11458,1
38,5,10,2245.130404,-96588.24499,1
39,5,10,2314.522813,-98902.7678,1
40,5,10,4744.922844,-103647.6906,1
41,5,10,5419.287442,-109066.9781,1
42,5,10,1884.04744,-110951.0255,1
43,5,10,1924.684452,-112875.71,1
44,5,10,1938.235892,-114813.9459,1
45,5,10,2036.306307,-116850.2522,1
46,5,10,2441.33558,-119291.5878,1
47,5,10,4427.170684,-123718.7584,1
48,5,10,4985.722137,-128704.4806,1
49,5,10,2240.887356,-130945.3679,1
50,5,10,2066.621297,-133011.9892,1
51,5,10,2071.760102,-135083.7493,1
52,5,10,2058.116946,-137141.8663,1
53,5,10,1627.080676,-138768.947,1
54,5,10,5117.183869,-143886.1308,1
55,5,10,5159.752742,-149045.8836,1
56,5,10,1915.109439,-150960.993,1
57,5,10,1952.125475,-152913.1185,1
58,5,10,1985.00017,-154898.1187,1
59,5,10,1963.558698,-156861.6773,1
60,5,10,1815.098863,-158676.7762,1
61,5,10,4800.13682,-163476.913,1
62,5,10,4886.266603,-168363.1796,1
63,5,10,1953.501317,-170316.681,1
64,5,10,1900.820061,-172217.501,1
65,5,10,1837.274243,-174054.7753,1
66,5,10,1850.53274,-175905.308,1
67,5,10,2049.786925,-177955.0949,1
68,5,10,5282.837035,-183237.932,1
69,5,10,5012.016533,-188249.9485,1
70,5,10,2089.047941,-190338.9964,1
71,5,10,1692.742141,-192031.7386,1
72,5,10,2325.790231,-194357.5288,1
73,5,10,1911.338762,-196268.8676,1
74,5,10,1989.512674,-198258.3802,1
75,5,10,5210.430888,-203468.8111,1
76,5,10,4839.726958,-208308.5381,1
77,5,10,1968.373227,-210276.9113,1
78,5,10,1791.510961,-212068.4223,1
79,5,10,2211.930663,-214280.3529,1
80,5,10,1955.764467,-216236.1174,1
81,5,10,1690.53797,-217926.6554,1
82,5,10,5362.20964,-223288.865,1
83,5,10,5074.467617,-228363.3326,1
84,5,10,1814.276326,-230177.609,1
85,5,10,2139.940995,-232317.55,1
86,5,10,1725.217392,-234042.7673,1
87,5,10,2206.048007,-236248.8154,1
88,5,10,2263.383283,-238512.1986,1
89,5,10,4907.482078,-243419.6807,1
90,5,10,5229.511734,-248649.1924,1
91,5,10,2349.964816,-250999.1573,1
92,5,10,1582.847261,-252582.0045,1
93,5,10,2042.290791,-254624.2953,1
94,5,10,1971.430122,-256595.7254,1
95,5,10,2193.745042,-258789.4705,1
96,5,10,4917.51977,-263706.9902,1
97,5,10,4944.599235,-268651.5895,1
98,5,10,2072.76806,-270724.3575,1
99,5,10,1569.009506,-272293.367,1
100,5,10,2386.730124,-274680.0972,1
101,5,10,1984.043523,-276664.1407,1
102,5,10,1710.95881,-278375.0995,1
